"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"600002","Rachel Turner","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","International Finance","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800002","5113211","1.00","100000","104999","","Policy Profession","London","","1"
"600004","Harriet Thompson","SCS2","British High Commisioner","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600067","0","1.00","70000","74999","","Policy Profession","Overseas","","1"
"600005","Melinda Bohannon","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Strategy","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","900001","1699866","1.00","95000","99999","","Policy Profession","London","","1"
"600006","Alastair McPhail","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (East & Central)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600159","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600007","Alicia Herbert","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Education, Gender & Equality","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800003","5479525","1.00","90000","94999","","Policy Profession","Scotland","","1"
"600009","Melanie Robinson","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (West & Southern)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600067","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600010","Christopher Taylor","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Internal Audit","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800002","1960676","1.00","90000","94999","","Policy Profession","London","","1"
"600012","Jane Marriott","SCS2","British High Commisioner","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (East & Central)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600159","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600013","Antony Phillipson","SCS2","British High Commisioner","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (West & Southern)","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600067","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600014","Darren Welch","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Global Health/C-19","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800003","6658191","1.00","95000","99999","","Policy Profession","London","","1"
"600015","Patrick Moody","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600016","Susanna Moorehead","SCS2","Chair of OECED DAC","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","International Finance","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800001","0","1.00","110000","114999","","Policy Profession","Overseas","","1"
"600017","Jonathan Hall","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Conflict, Stabilisation & Mediation","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800007","4403122","1.00","95000","99999","","Policy Profession","London","","1"
"600018","Bridget Brind","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600019","Richard Oppenheim","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600020","Mark Bryson-Richardson","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","0","1.00","95000","99999","","Policy Profession","Overseas","","1"
"600021","Ian Collard","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600023","Stephanie Al-Qaq","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800007","16798993","1.00","90000","94999","","Policy Profession","London","","1"
"600024","Jonathan Wilks","SCS2","British Ambassador","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
"600025","Caroline Read","SCS2","Director","Providing policy advice","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economic Cooperation & Growth","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","800005","4585673","0.60","95000","99999","","Policy Profession","London","","1"
"600026","Diane Corner","SCS2","British Consul-General","Representing British Interests Overseas","Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","020 7008 5000","fcdo.correspondence@fcdo.gov.uk","600023","0","1.00","90000","94999","","Policy Profession","Overseas","","1"
