"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Afghanistan, Pakistan & Iran","600047","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Afghanistan, Pakistan & Iran","600047","EO","24300","33929","Executive Officer","10.4","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Afghanistan, Pakistan & Iran","600047","HEO","28000","38595","Policy Adviser","48","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Afghanistan, Pakistan & Iran","600047","SEO","38300","46000","Policy Adviser","10","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Afghanistan, Pakistan & Iran","600047","Grade 7","48500","60078","Team Leader","56","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Afghanistan, Pakistan & Iran","600047","Grade 6","59500","71000","Team Leader","31.708333333333332","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Afghanistan, Pakistan & Iran","600047","SCS1","71000","117800","Senior Policy Adviser","8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (East & Central)","600159","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (East & Central)","600159","EO","24300","33929","Executive Officer","6.833333333333333","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (East & Central)","600159","HEO","28000","38595","Policy Adviser","59.8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (East & Central)","600159","SEO","38300","46000","Policy Adviser","26.5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Africa (East & Central)","600159","Grade 7","48500","60078","Team Leader","95.8","Policy Profession","Unknown"
